stat,source,r,p,abs_r,sig
OPP_tackles_won,opponent,0.17781392004484478,0.07674099561977919,0.17781392004484478,ns
OPP_yellow_cards,opponent,-0.16908807080031243,0.09261641264405335,0.16908807080031243,ns
OPP_penalty_save_percentage,opponent,0.1687447272650106,0.09329051579836894,0.1687447272650106,ns
OPP_challenge_tackles,opponent,0.15624620535996211,0.12057401492577458,0.15624620535996211,ns
OPP_take_on_success_rate,opponent,-0.14747889787834312,0.14312103257020847,0.14747889787834312,ns
OPP_aerial_duels_lost,opponent,0.14669417716865352,0.14528483111757384,0.14669417716865352,ns
OPP_miscontrols,opponent,0.14593902522369379,0.14739029939225085,0.14593902522369379,ns
OPP_goalkeeper_long_pass_accuracy,opponent,0.13579202656565867,0.17794910848255918,0.13579202656565867,ns
OPP_straight_corners,opponent,0.13511031045979174,0.1801572805320451,0.13511031045979174,ns
OPP_tackles_plus_interceptions,opponent,-0.129061763081971,0.2006327007120429,0.129061763081971,ns
OPP_offsides_pass_types,opponent,-0.11828621227082835,0.24115259498030017,0.11828621227082835,ns
OPP_offsides,opponent,-0.11828621227082835,0.24115259498030017,0.11828621227082835,ns
OPP_challenges_attempted,opponent,-0.08641354057700072,0.3926221752954714,0.08641354057700072,ns
OPP_tackles,opponent,0.0845966906898749,0.4026867152375829,0.0845966906898749,ns
OPP_throws,opponent,-0.07622445025951889,0.45099409602843377,0.07622445025951889,ns
OPP_red_cards,opponent,-0.07493854551112124,0.4586894109651311,0.07493854551112124,ns
OPP_take_ons_tackled_rate,opponent,0.060972311610261995,0.5467625368014848,0.060972311610261995,ns
OPP_fouls_committed,opponent,0.05645897487222901,0.5768875484266316,0.05645897487222901,ns
OPP_free_kick_goals_against,opponent,-0.052043608565802965,0.6070830713569025,0.052043608565802965,ns
OPP_penalty_kicks_saved,opponent,-0.03612905706886458,0.7211930237255628,0.03612905706886458,ns
OPP_second_yellow_cards,opponent,-0.027553671677535505,0.7855265210698034,0.027553671677535505,ns
OPP_passes_blocked,opponent,0.022995507923495476,0.8203506558103977,0.022995507923495476,ns
OPP_goalkeeper_pass_attempts,opponent,-0.022330499474723767,0.8254623172996822,0.022330499474723767,ns
OPP_crosses_stopped,opponent,-0.0053261376369894845,0.9580569001309882,0.0053261376369894845,ns
